step,epoch,loss,eval_loss,eval_rmse_mean,eval_corr_woman,eval_mae_man,eval_runtime,eval_rmse_man,eval_rmse_nonbinary,eval_mae_nonbinary,eval_corr_mean,eval_mse_man,eval_steps_per_second,eval_corr_man,eval_mse_woman,eval_corr_nonbinary,eval_mse_nonbinary,eval_mae_woman,eval_samples_per_second,eval_rmse_woman,eval_mae_mean,eval_mse_mean,grad_norm,learning_rate
0,0.0,,0.03794876113533974,1.1690852642059326,-0.1955277936666021,0.8523707985877991,9.1414,1.0447081327438354,1.241280198097229,1.0682272911071777,-0.19390781194209475,1.0914150476455688,3.938,0.18980389488647406,1.4680899381637573,0.15252783883249071,1.5407764911651611,0.9686743021011353,30.849,1.211647629737854,0.963090717792511,1.366760492324829,,
1,0.012048192771084338,0.0516,,,,,,,,,,,,,,,,,,,,,1.5391680002212524,0.0
5,0.060240963855421686,0.0308,,,,,,,,,,,,,,,,,,,,,1.7189714908599854,3.2000000000000003e-06
10,0.12048192771084337,0.0494,,,,,,,,,,,,,,,,,,,,,4.125557899475098,7.2e-06
15,0.18072289156626506,0.0367,,,,,,,,,,,,,,,,,,,,,0.9376786351203918,1.1200000000000001e-05
20,0.24096385542168675,0.0387,,,,,,,,,,,,,,,,,,,,,3.0785629749298096,1.52e-05
25,0.30120481927710846,0.035,,,,,,,,,,,,,,,,,,,,,2.437884569168091,1.9200000000000003e-05
30,0.3614457831325301,0.0439,,,,,,,,,,,,,,,,,,,,,1.015793800354004,2.32e-05
35,0.42168674698795183,0.0442,,,,,,,,,,,,,,,,,,,,,3.313161611557007,2.7200000000000004e-05
40,0.4819277108433735,0.0302,0.03162495419383049,1.0672508478164673,-0.18936229272689392,0.9057251214981079,4.6227,1.1103107929229736,0.8068743348121643,0.6309290528297424,-0.10525719583492552,1.2327899932861328,7.788,0.19157954325327803,1.533237099647522,0.14013678190854678,0.6510462164878845,1.0046792030334473,61.003,1.2382395267486572,0.847111165523529,1.1390243768692017,2.031717538833618,3.12e-05
45,0.5421686746987951,0.0252,,,,,,,,,,,,,,,,,,,,,1.9849467277526855,3.52e-05
50,0.6024096385542169,0.0405,,,,,,,,,,,,,,,,,,,,,1.6097822189331055,3.9200000000000004e-05
55,0.6626506024096386,0.0303,,,,,,,,,,,,,,,,,,,,,1.6411112546920776,4.32e-05
60,0.7228915662650602,0.0284,,,,,,,,,,,,,,,,,,,,,0.851889431476593,4.72e-05
65,0.7831325301204819,0.0293,,,,,,,,,,,,,,,,,,,,,0.8949049115180969,5.1200000000000004e-05
70,0.8433734939759037,0.0367,,,,,,,,,,,,,,,,,,,,,2.5005414485931396,5.520000000000001e-05
75,0.9036144578313253,0.0363,,,,,,,,,,,,,,,,,,,,,0.48657500743865967,5.92e-05
80,0.963855421686747,0.0353,0.02504345029592514,0.9497103095054626,0.038992328687869844,0.8408750891685486,4.6617,1.0131312608718872,0.6464611291885376,0.49604663252830505,0.2957785988148838,1.0264350175857544,7.723,0.2262190278932717,1.2615019083023071,0.26501517209032543,0.41791200637817383,0.9128093123435974,60.493,1.1231659650802612,0.749910295009613,0.9019496440887451,1.0549657344818115,6.32e-05
85,1.0240963855421688,0.0214,,,,,,,,,,,,,,,,,,,,,1.2659320831298828,6.720000000000001e-05
90,1.0843373493975903,0.0307,,,,,,,,,,,,,,,,,,,,,0.6644206643104553,7.12e-05
95,1.144578313253012,0.0226,,,,,,,,,,,,,,,,,,,,,2.76625394821167,7.52e-05
100,1.2048192771084336,0.0224,,,,,,,,,,,,,,,,,,,,,0.8911017179489136,7.920000000000001e-05
105,1.2650602409638554,0.0355,,,,,,,,,,,,,,,,,,,,,1.2895704507827759,8.32e-05
110,1.3253012048192772,0.031,,,,,,,,,,,,,,,,,,,,,1.2271904945373535,8.72e-05
115,1.3855421686746987,0.0189,,,,,,,,,,,,,,,,,,,,,1.078492522239685,9.120000000000001e-05
120,1.4457831325301205,0.0294,0.02306235022842884,0.9113730788230896,0.36619032589454853,0.844984769821167,4.4822,1.0110846757888794,0.6363055109977722,0.488446444272995,0.3634724750919344,1.0222922563552856,8.032,0.14857277773766667,1.0646259784698486,0.4058248622637157,0.4048846960067749,0.8491562604904175,62.915,1.0318071842193604,0.7275291085243225,0.830600917339325,0.5825914144515991,9.52e-05
125,1.5060240963855422,0.0225,,,,,,,,,,,,,,,,,,,,,0.6410903930664062,9.92e-05
130,1.5662650602409638,0.0241,,,,,,,,,,,,,,,,,,,,,2.657052516937256,9.999685283773504e-05
135,1.6265060240963856,0.0174,,,,,,,,,,,,,,,,,,,,,1.3128423690795898,9.998406817003941e-05
140,1.6867469879518073,0.0281,,,,,,,,,,,,,,,,,,,,,0.6371657252311707,9.996145181203615e-05
145,1.7469879518072289,0.0274,,,,,,,,,,,,,,,,,,,,,0.7351559400558472,9.992900821228332e-05
150,1.8072289156626506,0.0333,,,,,,,,,,,,,,,,,,,,,3.219742774963379,9.98867437523228e-05
155,1.8674698795180724,0.0366,,,,,,,,,,,,,,,,,,,,,1.1802241802215576,9.983466674542515e-05
160,1.927710843373494,0.0189,0.02086355723440647,0.8667939901351929,0.5291763121975024,0.8187777996063232,4.4275,0.9850574135780334,0.5972049832344055,0.46012014150619507,0.46233586099623697,0.9703381061553955,8.131,0.22931238113508431,0.9270039200782776,0.41965389317371066,0.35665377974510193,0.7847625017166138,63.693,0.9628104567527771,0.6878867745399475,0.7513318657875061,1.813275694847107,9.977278743495434e-05
165,1.9879518072289155,0.0209,,,,,,,,,,,,,,,,,,,,,4.626862525939941,9.970111799235298e-05
170,2.0481927710843375,0.0544,,,,,,,,,,,,,,,,,,,,,6.596320629119873,9.961967251474822e-05
175,2.108433734939759,0.0213,,,,,,,,,,,,,,,,,,,,,0.7232372164726257,9.952846702217886e-05
180,2.1686746987951806,0.0236,,,,,,,,,,,,,,,,,,,,,1.6726298332214355,9.942751945444438e-05
185,2.2289156626506026,0.0197,,,,,,,,,,,,,,,,,,,,,3.5950257778167725,9.931684966757604e-05
190,2.289156626506024,0.0228,,,,,,,,,,,,,,,,,,,,,2.7671120166778564,9.919647942993148e-05
195,2.3493975903614457,0.0172,,,,,,,,,,,,,,,,,,,,,1.3600037097930908,9.906643241791287e-05
200,2.4096385542168672,0.0232,0.01840285398066044,0.8139970898628235,0.6548840546192406,0.7597703337669373,4.1286,0.9349100589752197,0.561676561832428,0.42471447587013245,0.6065738850139999,0.8740568161010742,8.72,0.5076476203906418,0.7982364296913147,0.537980632480523,0.3154805600643158,0.7453761696815491,68.305,0.8934407830238342,0.643286943435669,0.662591278553009,0.48614275455474854,9.892673421130979e-05
205,2.4698795180722892,0.0179,,,,,,,,,,,,,,,,,,,,,1.211943507194519,9.877741228826785e-05
210,2.5301204819277108,0.0198,,,,,,,,,,,,,,,,,,,,,1.8445196151733398,9.861849601988383e-05
215,2.5903614457831328,0.0155,,,,,,,,,,,,,,,,,,,,,1.0949207544326782,9.84500166644285e-05
220,2.6506024096385543,0.0101,,,,,,,,,,,,,,,,,,,,,0.5631516575813293,9.827200736119816e-05
225,2.710843373493976,0.0128,,,,,,,,,,,,,,,,,,,,,1.4776724576950073,9.80845031239963e-05
230,2.7710843373493974,0.0155,,,,,,,,,,,,,,,,,,,,,0.9481357932090759,9.788754083424652e-05
235,2.8313253012048194,0.0157,,,,,,,,,,,,,,,,,,,,,1.8682010173797607,9.768115923373811e-05
240,2.891566265060241,0.0186,0.014678464271128178,0.7268771529197693,0.7461903279135613,0.6209788918495178,4.1748,0.7642781138420105,0.6344512104988098,0.5034508109092712,0.6781818075475904,0.58412104845047,8.623,0.690213333411741,0.5984016060829163,0.5700592266049246,0.402528315782547,0.6470877528190613,67.547,0.7735642194747925,0.590505838394165,0.5283503532409668,1.0874260663986206,9.746539891700556e-05
245,2.9518072289156625,0.0114,,,,,,,,,,,,,,,,,,,,,0.9973471164703369,9.724030232334391e-05
250,3.0120481927710845,0.0107,,,,,,,,,,,,,,,,,,,,,0.7903268933296204,9.700591372846095e-05
255,3.072289156626506,0.0084,,,,,,,,,,,,,,,,,,,,,0.6492654085159302,9.676227923576848e-05
260,3.1325301204819276,0.0115,,,,,,,,,,,,,,,,,,,,,0.46901214122772217,9.650944676731381e-05
