model_dir,person_term,population_n,population_pct,sample_n,sample_pct,pct_diff
Meta-Llama-3-8B,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Meta-Llama-3-8B,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Meta-Llama-3-8B,woman,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Meta-Llama-3-8B-Instruct,man,185,0.015150274342805668,1,0.01020408163265306,-0.004946192710152607
Meta-Llama-3-8B-Instruct,nonbinary person,170,0.013921873720416018,1,0.01020408163265306,-0.0037177920877629576
Meta-Llama-3-8B-Instruct,woman,183,0.014986487593153713,1,0.01020408163265306,-0.004782405960500653
Mistral-7B-Instruct-v0.3,man,187,0.01531406109245762,1,0.01020408163265306,-0.00510997945980456
Mistral-7B-Instruct-v0.3,nonbinary person,166,0.013594300221112111,1,0.01020408163265306,-0.003390218588459051
Mistral-7B-Instruct-v0.3,woman,187,0.01531406109245762,1,0.01020408163265306,-0.00510997945980456
Mistral-7B-v0.3,man,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Mistral-7B-v0.3,nonbinary person,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Mistral-7B-v0.3,woman,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
OLMo-2-1124-7B-DPO,man,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
OLMo-2-1124-7B-DPO,nonbinary person,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
OLMo-2-1124-7B-DPO,woman,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
OLMo-2-1124-7B-SFT,man,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
OLMo-2-1124-7B-SFT,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
OLMo-2-1124-7B-SFT,woman,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
OLMo2-7B-1124,man,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
OLMo2-7B-1124,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
OLMo2-7B-1124,woman,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Qwen2.5-14B,man,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Qwen2.5-14B,nonbinary person,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Qwen2.5-14B,woman,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Qwen2.5-14B-Instruct,man,181,0.014822700843501761,1,0.01020408163265306,-0.0046186192108487005
Qwen2.5-14B-Instruct,nonbinary person,160,0.013102939972156252,1,0.01020408163265306,-0.002898858339503192
Qwen2.5-14B-Instruct,woman,175,0.014331340594545902,1,0.01020408163265306,-0.004127258961892841
Qwen2.5-32B,man,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Qwen2.5-32B,nonbinary person,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
Qwen2.5-32B,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-32B-Instruct,man,185,0.015150274342805668,1,0.01020408163265306,-0.004946192710152607
Qwen2.5-32B-Instruct,nonbinary person,156,0.012775366472852346,1,0.01020408163265306,-0.002571284840199285
Qwen2.5-32B-Instruct,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-3B,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-3B,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-3B,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-3B-Instruct,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-3B-Instruct,nonbinary person,184,0.01506838096797969,1,0.01020408163265306,-0.00486429933532663
Qwen2.5-3B-Instruct,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-7B,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-7B,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-7B,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
Qwen2.5-7B-Instruct,man,187,0.01531406109245762,1,0.01020408163265306,-0.00510997945980456
Qwen2.5-7B-Instruct,nonbinary person,164,0.013430513471460159,1,0.01020408163265306,-0.0032264318388070985
Qwen2.5-7B-Instruct,woman,186,0.015232167717631643,1,0.01020408163265306,-0.0050280860849785825
claude-opus-4-6,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
claude-opus-4-6,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
claude-opus-4-6,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gemini-3-flash-preview,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gemini-3-flash-preview,nonbinary person,157,0.012857259847678323,1,0.01020408163265306,-0.0026531782150252623
gemini-3-flash-preview,woman,186,0.015232167717631643,1,0.01020408163265306,-0.0050280860849785825
gpt-4o,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-4o,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-4o,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-4o-mini,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-4o-mini,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-4o-mini,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-5.2,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-5.2,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-5.2,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-oss-20b,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-oss-20b,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
gpt-oss-20b,woman,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
grok-4-1-fast-non-reasoning,man,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
grok-4-1-fast-non-reasoning,nonbinary person,188,0.015395954467283597,2,0.02040816326530612,0.005012208798022524
grok-4-1-fast-non-reasoning,woman,188,0.015395954467283597,1,0.01020408163265306,-0.005191872834630537
