novel_name,total_sentences,sentences_with_physattr,sentences_without_physattr,physattr_percentage,total_attributes,unique_attribute_count,avg_attributes_per_sentence,indomain_attribute_count,outdomain_attribute_count,indomain_percentage,llm_gender_male_count,llm_gender_male_percentage,llm_gender_female_count,llm_gender_female_percentage,llm_gender_unknown_count,llm_gender_unknown_percentage,"llm_gender_male},{_count","llm_gender_male},{_percentage","llm_gender_unknown},{_count","llm_gender_unknown},{_percentage",intext_gender_male_count,intext_gender_male_percentage,intext_gender_female_count,intext_gender_female_percentage,intext_gender_unknown_count,intext_gender_unknown_percentage,intext_gender_evidence for both_count,intext_gender_evidence for both_percentage,gender_match_percentage
gameofthrones1,528,309,219,58.52272727272727,609,528,1.970873786407767,257,352,42.20032840722496,322,52.87356321839081,166,27.257799671592775,119,19.54022988505747,1.0,0.16420361247947454,1.0,0.16420361247947454,288,47.29064039408867,138,22.660098522167488,100,16.420361247947454,83.0,13.628899835796387,62.5615763546798
harrypotter1,92,40,52,43.47826086956522,78,71,1.95,33,45,42.30769230769231,63,80.76923076923077,7,8.974358974358974,8,10.256410256410255,,,,,51,65.38461538461539,6,7.6923076923076925,17,21.794871794871796,4.0,5.128205128205128,74.35897435897436
hungergames1,118,39,79,33.05084745762712,69,62,1.7692307692307692,25,44,36.231884057971016,29,42.028985507246375,19,27.536231884057973,21,30.434782608695656,,,,,24,34.78260869565217,16,23.18840579710145,29,42.028985507246375,,,79.71014492753623
lordoftherings1,168,54,114,32.142857142857146,109,94,2.0185185185185186,45,64,41.284403669724774,73,66.97247706422019,9,8.256880733944955,27,24.770642201834864,,,,,73,66.97247706422019,8,7.339449541284404,28,25.688073394495415,,,86.23853211009175
mazerunner,102,44,58,43.13725490196079,73,64,1.6590909090909092,39,34,53.42465753424658,46,63.013698630136986,7,9.58904109589041,20,27.397260273972602,,,,,60,82.1917808219178,7,9.58904109589041,5,6.8493150684931505,1.0,1.36986301369863,78.08219178082192
twilight1,165,82,83,49.696969696969695,138,125,1.6829268292682926,73,65,52.89855072463768,72,52.17391304347826,38,27.536231884057973,26,18.84057971014493,,,2.0,1.4492753623188406,76,55.072463768115945,34,24.637681159420293,25,18.115942028985508,3.0,2.1739130434782608,82.6086956521739
